name,Type & Stage,CEO,ticker,exchange,Filed Date,Est Raise,Terms set,IPO Date,Total Raised,Priced at,Current Price,SPAC Raise,Total Deal Size,Merger Closed,Announced,Priced Date
Jade Mountain Acquisition,SPAC: Filed,Moses Chen,JMACU,NASDAQ,23 July,$100M,,,,,,,,,,
Pacifico Acquisition,SPAC: Filed,Edward Wang,PAFOU,NASDAQ,20 July,$50M,,,,,,,,,,
Aesther Healthcare Acquisition,SPAC: Filed,Suren Ajjarapu,AEHAU,NASDAQ,19 July,$100M,,,,,,,,,,
Castle Creek Biosciences,IPO: Filed,Matthew Gantz,CCBS,NASDAQ,16 July,$100M,,,,,,,,,,
WCG Clinical Services (postponed),IPO: Filed,Donald Deieso,WCGC,NASDAQ,1 July,$100M,,,,,,,,,,
Vividion Therapeutics,IPO: Filed,Jeff Hatfield,VVID,NASDAQ,25 June,$100M,,,,,,,,,,
Dynacure,IPO: Filed,Stéphane van Rooijen,DYCU,NASDAQ,25 June,$100M,,,,,,,,,,
JATT Acquisition,SPAC: Filed,Someit Sidhu,JATT,NASDAQ,15 June,$120M,,,,,,,,,,
Ocean Biomedical,IPO: Terms Set,Elizabeth Ng,OCEA,NASDAQ,9 June,$50M,6.3 million shares at $7 to $9,,,,,,,,,
HCW Biologics,IPO: Filed,Hing Wong,HCWB,NASDAQ,28 May,$50M,,,,,,,,,,
Context Therapeutics,IPO: Filed,Martin Lehr,CNTX,NASDAQ,27 May,$15M,,,,,,,,,,
Sparta Healthcare Acquisition,SPAC: Filed,Michael Handley,SPTAU,NASDAQ,26 May,$100M,,,,,,,,,,
Larkspur Health Acquisition,SPAC: Filed,Daniel O'Connor,LSPRU,NASDAQ,13 May,$75M,,,,,,,,,,
Sagimet Biosciences,IPO: Filed,George Kemble,SGMT,NASDAQ,16 April,$75M,,,,,,,,,,
Gyroscope Therapeutics (withdrawn),IPO: Filed,Khurem Farooq,VISN,NASDAQ,16 April,$142M,,,,,,,,,,
Artiva Biotherapeutics,IPO: Filed,Fred Aslan,RTVA,NASDAQ,8 April,$100M,,,,,,,,,,
Ventyx Biosciences,IPO: Priced,Raju Mohan,VTYX,NASDAQ,,,,21 October,$151.5M,$16,Unknown,,,,,
IsoPlexis,IPO: Priced,Sean Mackay,ISO,NASDAQ,,,,8 October,$125M,$15,$13.98,,,,,
Pyxis Oncology,IPO: Priced,Lara Sullivan,PYXS,NASDAQ,,,,8 October,$168M,$16,Unknown,,,,,
Cognition Therapeutics,IPO: Priced,Lisa Ricciardi,CGTX,NASDAQ,,,,8 October,$45M,$12,Unknown,,,,,
Theseus Pharmaceuticals,IPO: Priced,Tim Clackson,THRX,NASDAQ,,,,7 October,$160M,$16,$18.21,,,,,
Roivant Sciences,SPAC: Merged,Matt Gline,ROIV,NASDAQ,,,,,,,$7.85,$411M,$611,1 October,,
Exscientia,IPO: Priced,Andrew Hopkins,EXAI,NASDAQ,,,,1 October,$304.7M,$22,$22.36,,,,,
Tyra Biosciences,IPO: Priced,Todd Harris,TYRA,NASDAQ,,,,15 September,$173M,$16,$30.96,,,,,
DiCE Therapeutics,IPO: Priced,Kevin Judice,DICE,NASDAQ,,,,15 September,$204M,$17,$34.5,,,,,
Dermata Therapeutics,IPO: Priced,Gerry Proehl,DRMA,NASDAQ,,,,13 August,$18M,$7,$6.31,,,,,
Eliem Therapeutics,IPO: Priced,Bob Azelby,ELYM,NASDAQ,,,,10 August,$80M,$12.5,$17.82,,,,,
EQRx,SPAC: To Merge,Eli Casdin,CMLTU,NASDAQ,,,,,,,$10.4,$552M,$1752,,6 August,
Adagio Therapeutics,IPO: Priced,Tillman Gerngross,ADGI,NASDAQ,,,,5 August,$309.4M,$17,$30.23,,,,,
IN8bio,IPO: Priced,William Ho,INAB,NASDAQ,,,,30 July,$40M,$10,$7.5,,,,,
MaxCyte,IPO: Priced,Doug Doerfler,MXCT,NASDAQ,,,,30 July,$176M,$13,$11.7,,,,,
Immuneering,IPO: Priced,Ben Zeskind,IMRX,NASDAQ,,,,30 July,$112.5M,$15,$30.27,,,,,
Tenaya Therapeutics,IPO: Priced,Faraz Ali,TNYA,NASDAQ,,,,30 July,$180M,$15,$26.44,,,,,
Omega Therapeutics,IPO: Priced,Mahesh Karande,OMGA,NASDAQ,,,,30 July,$125.8M,$17,$23.67,,,,,
Rani Therapeutics,IPO: Priced,Talat Imran,RANI,NASDAQ,,,,30 July,$73.3M,$11,$31.84,,,,,
Rallybio,IPO: Priced,Martin Mackay,RLYB,NASDAQ,,,,29 July,$81M,$13,$19.02,,,,,
Nuvalent,IPO: Priced,James Porter,NUVL,NASDAQ,,,,29 July,$166M,$17,$29.53,,,,,
Icosavax,IPO: Priced,Adam Simpson,ICVX,NASDAQ,,,,29 July,$182M,$15,$33.76,,,,,
Candel Therapeutics,IPO: Priced,Paul Peter Tak,CADL,NASDAQ,,,,27 July,$72M,$8,$11.7,,,,,
Caribou Biosciences,IPO: Priced,Rachel Haurwitz,CRBU,NASDAQ,,,,23 July,$304M,$16,$23.3,,,,,
Sophia Genetics,IPO: Priced,Jurgi Camblong,SOPH,NASDAQ,,,,23 July,$234M,$18,$15.44,,,,,
Absci,IPO: Priced,Sean McClain,ABSI,NASDAQ,,,,23 July,$200M,$16,$17.06,,,,,
Gelesis,SPAC: To Merge,Yishai Zohar,GLS,NASDAQ,,,,,,,Unknown,$376M,$476,,19 July,
TScan Therapeutics,IPO: Priced,David Southwell,TCRX,NASDAQ,,,,16 July,$100M,$15,$8.6,,,,,
Imago BioSciences,IPO: Priced,Hugh Rienhoff,IMGO,NASDAQ,,,,16 July,$134M,$16,$24.53,,,,,
Prenetics,SPAC: To Merge,Danny Yeung,ARTAU,NASDAQ,,,,,,,$10.17,$339M,$399,,15 July,
Erasca,IPO: Priced,Jonathan Lim,ERAS,NASDAQ,,,,15 July,$300M,$16,$20.27,,,,,
Arya Sciences Acquisition V,SPAC: Priced,Adam Stone,ARYE,NASDAQ,,,,,$130M,,,,,,,12 July
TransCode Therapeutics,IPO: Priced,Michael Dudley,RNAZ,NASDAQ,,,,9 July,$25M,$4,$3.38,,,,,
Acumen Pharmaceuticals,IPO: Priced,Daniel O'Connell,ABOS,NASDAQ,,,,1 July,$160M,$16,$14.73,,,,,
Social Capital Suvretta Holdings Corp. I,SPAC: Priced,Chamath Palihapitiya,DNAA,NASDAQ,,,,,$200M,,,,,,,30 June
Social Capital Suvretta Holdings Corp. II,SPAC: Priced,Chamath Palihapitiya,DNAB,NASDAQ,,,,,$200M,,,,,,,30 June
Social Capital Suvretta Holdings Corp. III,SPAC: Priced,Chamath Palihapitiya,DNAC,NASDAQ,,,,,$200M,,,,,,,30 June
Social Capital Suvretta Holdings Corp. IV,SPAC: Priced,Chamath Palihapitiya,DNAD,NASDAQ,,,,,$200M,,,,,,,30 June
Aerovate Therapeutics,IPO: Priced,Timothy Noyes,AVTE,NASDAQ,,,,30 June,$121.5M,$14,$17.01,,,,,
Pardes Biosciences,SPAC: To Merge,Uri Lopatin,PRDS,NASDAQ,,,,,,,$0.45,$175M,$276,,29 June,
Acurx Pharmaceuticals,IPO: Priced,David Luci,ACXP,NASDAQ,,,,25 June,$15M,$6,$5.33,,,,,
Graphite Bio,IPO: Priced,Josh Lehrer,GRPH,NASDAQ,,,,25 June,$238M,$17,$12.74,,,,,
GH Research,IPO: Priced,Theis Terwey,GHRS,NASDAQ,,,,25 June,$160M,$16,$24.76,,,,,
Elevation Oncology,IPO: Priced,Shawn Leland,ELEV,NASDAQ,,,,25 June,$100M,$16,$8.74,,,,,
Alpha Teknova,IPO: Priced,Ted Davis,TKNO,NASDAQ,,,,25 June,$96M,$16,$22.97,,,,,
Monte Rosa Therapeutics,IPO: Priced,Markus Warmuth,GLUE,NASDAQ,,,,24 June,$222.3M,$19,$26,,,,,
23andMe,SPAC: Merged,Anne Wojcicki,ME,NASDAQ,,,,,,,$12.84,$509M,$759,17 June,,
Century Therapeutics,IPO: Priced,Lalo Flores,IPSC,NASDAQ,,,,17 June,$211M,$20,$23.52,,,,,
Ambrx Biopharma,IPO: Priced,Feng Tian,AMAM,NASDAQ,,,,17 June,$126M,$18,$13.04,,,,,
Cyteir Therapeutics,IPO: Priced,Markus Renschler,CYT,NASDAQ,,,,17 June,$133M,$18,$17.08,,,,,
ATAI Life Sciences,IPO: Priced,Florian Brand,ATAI,NASDAQ,,,,17 June,$225M,$15,$17.79,,,,,
Molecular Partners,IPO: Priced,Patrick Amstutz,MOLN,NASDAQ,,,,16 June,$63.8M,$21.25,$19.32,,,,,
Lyell Immunopharma,IPO: Priced,Elizabeth Homans,LYEL,NASDAQ,,,,16 June,$425M,$17,$14.89,,,,,
Verve Therapeutics,IPO: Priced,Sekar Kathiresan,VERV,NASDAQ,,,,16 June,$266.7M,$19,$54.5,,,,,
Alzamend Neuro,IPO: Priced,Stephan Jackman,ALZN,NASDAQ,,,,14 June,$12.5M,$5,$2.29,,,,,
Janux Therapeutics,IPO: Priced,David Campbell,JANX,NASDAQ,,,,11 June,$194M,$17,$26.63,,,,,
Valo Health,SPAC: To Merge,Vinod Khosla,KVSA,NASDAQ,,,,,,,$9.97,$333M,$501.5,,9 June,
eFFECTOR Therapeutics,SPAC: To Merge,Steve Worland,EFTR,NASDAQ,,,,,,,$11.15,$175M,$235,,27 May,
Centessa Pharmaceuticals,IPO: Priced,Saurabh Saha,CNTA,NASDAQ,,,,27 May,$330M,$20,$13.08,,,,,
Dynamics Special Purpose Corp.,SPAC: Priced,Mostafa Ronaghi,DYNS,NASDAQ,,,,,$200M,,,,,,,26 May
Day One Pharmaceuticals,IPO: Priced,Jeremy Bender,DAWN,NASDAQ,,,,26 May,$160M,$16,$25.93,,,,,
Vera Therapeutics,IPO: Priced,Marshall Fordyce,VERA,NASDAQ,,,,14 May,$47.58M,$11,$17.94,,,,,
Orion Biotech Opportunities,SPAC: Priced,James Huang,ORIAU,NASDAQ,,,,,$200M,,,,,,,12 May
Ginkgo Bioworks,SPAC: To Merge,Jason Kelly,SRNG,NASDAQ,,,,,,,$12.18,$1.73B,$2500,,11 May,
Science 37,SPAC: To Merge,David Coman,SNCE,NASDAQ,,,,,,,$11.11,$80M,$280,,7 May,
Talaris Therapeutics,IPO: Priced,Scott Requadt,TALS,NASDAQ,,,,7 May,$150M,$17,$16.28,,,,,
Anebulo Pharmaceuticals,IPO: Priced,Daniel Schneeberger,ANEB,NASDAQ,,,,7 May,$21M,$7,$7.02,,,,,
Jasper Therapeutics,SPAC: To Merge,Bill Lis,JSPR,NASDAQ,,,,,,,$9.19,$100M,$200,,6 May,
Werewolf Therapeutics,IPO: Priced,Dan Hicklin,HOWL,NASDAQ,,,,29 April,$120M,$16,$16,,,,,
Vaccitech,IPO: Priced,Bill Enright,VACC,NASDAQ,,,,29 April,$110.5M,$17,$13.93,,,,,
Protagenic Therapeutics,IPO: Priced,Garo Armen,PTIX,NASDAQ,,,,27 April,$13M,$4.15,$2.04,,,,,
Rain Therapeutics,IPO: Priced,Avanish Vellanki,RAIN,NASDAQ,,,,22 April,$125M,$17,$16.93,,,,,
Impel NeuroPharma,IPO: Priced,Adrian Adams,IMPL,NASDAQ,,,,22 April,$80M,$15,$11.32,,,,,
Zymergen,IPO: Priced,Josh Hoffman,ZY,NASDAQ,,,,21 April,$500M,$31,$10.47,,,,,
Recursion Pharmaceuticals,IPO: Priced,Chris Gibson,RXRX,NASDAQ,,,,16 April,$436.4M,$18,$19.55,,,,,
Biomea Fusion,IPO: Priced,Ramses Erdtmann,BMEA,NASDAQ,,,,16 April,$153M,$17,$11.45,,,,,
Surrozen,SPAC: To Merge,Craig Parker,SRZN,NASDAQ,,,,,,,$7.89,$92M,$212,,15 April,
Tango Therapeutics,SPAC: To Merge,Barbara Weber,TNGX,NASDAQ,,,,,,,$12.75,$167M,$353,,14 April,
Valneva,IPO: Priced,Thomas Lingelbach,VALN,NASDAQ,,,,9 April,$94M,$26.41,$46.21,,,,,
Reneo Pharmaceuticals,IPO: Priced,Gregory Flesher,RPHM,NASDAQ,,,,9 April,$94M,$15,$7.65,,,,,
VectivBio,IPO: Priced,Luca Santarelli,VECT,NASDAQ,,,,8 April,$127.5M,$17,$5.91,,,,,
Better Therapeutics,SPAC: To Merge,Kevin Appelbaum,BTTX,NASDAQ,,,,,,,$12.35,$57.5M,$113,,7 April,
Panacea Acquisition Corp II,SPAC: Priced,Oleg Nodelman,PANA,NASDAQ,,,,,$150M,,,,,,,7 April
Achilles Therapeutics,IPO: Priced,Iraj Ali,ACHL,NASDAQ,,,,30 March,$175.5M,$18,$7.23,,,,,
SomaLogic,SPAC: To Merge,Roy Smythe,SLGC,NASDAQ,,,,,,,$13.74,$276M,$651,,29 March,
Universe Pharmaceuticals,IPO: Priced,Gang Lai,UPC,NASDAQ,,,,26 March,$25M,$5,$2.4,,,,,
Ikena Oncology,IPO: Priced,Mark Manfredi,IKNA,NASDAQ,,,,26 March,$125M,$16,$12.99,,,,,
Edgewise Therapeutics,IPO: Priced,Kevin Koch,EWTX,NASDAQ,,,,26 March,$176M,$16,$19.55,,,,,
Design Therapeutics,IPO: Priced,Joao Siffert,DSGN,NASDAQ,,,,26 March,$240M,$20,$17.73,,,,,
Lava Therapeutics,IPO: Priced,Steve Hurly,LVTX,NASDAQ,,,,25 March,$100.5M,$15,$7.56,,,,,
Longview Acquisition II,SPAC: Priced,John Rodin,LGV,NASDAQ,,,,,$600M,,,,,,,24 March
Khosla Ventures Acquisition II,SPAC: Priced,Vinod Khosla,KVSB,NASDAQ,,,,,$400M,,,,,,,24 March
Khosla Ventures Acquisition III,SPAC: Priced,Vinod Khosla,KVSC,NASDAQ,,,,,$500M,,,,,,,24 March
Research Alliance II,SPAC: Priced,Peter Kolchinsky,RACB,NASDAQ,,,,,$130M,,,,,,,18 March
Revolution Healthcare Acquisition,SPAC: Priced,Jay Markowitz,REVHU,NASDAQ,,,,,$500M,,,,,,,18 March
Gain Therapeutics,IPO: Priced,Eric Richman,GANX,NASDAQ,,,,18 March,$40M,$11,$7.6,,,,,
Finch Therapeutics,IPO: Priced,Mark Smith,FNCH,NASDAQ,,,,18 March,$128M,$17,$13.94,,,,,
Connect Biopharma,IPO: Priced,Zheng Wei,CNTB,NASDAQ,,,,18 March,$191M,$17,$15.93,,,,,
Instil Bio,IPO: Priced,Bronson Crouch,TIL,NASDAQ,,,,18 March,$320M,$20,$21.56,,,,,
Golden Arrow Merger,SPAC: Priced,Timothy Babich,GAMCU,NASDAQ,,,,,$250M,,,,,,,17 March
European Biotech Acquisition,SPAC: Priced,Eduardo Bravo,EBACU,NASDAQ,,,,,$120M,,,,,,,16 March
Frontier Acquisition,SPAC: Priced,Christian Angermayer,FRONU,NASDAQ,,,,,$230M,,,,,,,11 March
Longboard Pharmaceuticals,IPO: Priced,Kevin Lind,LBPH,NASDAQ,,,,11 March,$80M,$16,$6.69,,,,,
Prometheus Biosciences,IPO: Priced,Mark McKenna,RXDX,NASDAQ,,,,11 March,$190M,$19,$35.43,,,,,
Digital Transformation Opportunities,SPAC: Priced,Kevin Nazemi,DTOCU,NASDAQ,,,,,$300M,,,,,,,10 March
Orion Acquisition,SPAC: Priced,Beau Garverick,OHPAU,NASDAQ,,,,,$414M,,,,,,,2 March
ARYA Sciences Acquisition IV,SPAC: Priced,Joseph Edelman,ARYD,NASDAQ,,,,,$130M,,,,,,,26 February
